,Stationscode,Datum,Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³,Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³,Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³,Luftqualitätsindex
0,DENW059,'01.11.2020 01:00',10,30,14,sehr gut
1,DENW059,'01.11.2020 02:00',10,35,8,sehr gut
2,DENW059,'01.11.2020 03:00',10,-,11,sehr gut
3,DENW059,'01.11.2020 04:00',10,19,4,sehr gut
4,DENW059,'01.11.2020 05:00',10,10,3,sehr gut
5,DENW059,'01.11.2020 06:00',10,4,6,sehr gut
6,DENW059,'01.11.2020 07:00',10,8,7,sehr gut
7,DENW059,'01.11.2020 08:00',11,6,9,sehr gut
8,DENW059,'01.11.2020 09:00',11,8,15,sehr gut
9,DENW059,'01.11.2020 10:00',11,18,20,sehr gut
10,DENW059,'01.11.2020 11:00',11,42,10,sehr gut
11,DENW059,'01.11.2020 12:00',11,49,10,sehr gut
12,DENW059,'01.11.2020 13:00',11,43,13,sehr gut
13,DENW059,'01.11.2020 14:00',11,35,11,sehr gut
14,DENW059,'01.11.2020 15:00',10,33,9,sehr gut
15,DENW059,'01.11.2020 16:00',10,41,4,sehr gut
16,DENW059,'01.11.2020 17:00',10,40,4,sehr gut
17,DENW059,'01.11.2020 18:00',9,36,5,sehr gut
18,DENW059,'01.11.2020 19:00',9,28,16,sehr gut
19,DENW059,'01.11.2020 20:00',8,31,11,sehr gut
20,DENW059,'01.11.2020 21:00',8,31,10,sehr gut
21,DENW059,'01.11.2020 22:00',8,33,9,sehr gut
22,DENW059,'01.11.2020 23:00',8,29,12,sehr gut
23,DENW059,'01.11.2020 24:00',8,29,11,sehr gut
24,DENW059,'02.11.2020 01:00',7,28,8,sehr gut
25,DENW059,'02.11.2020 02:00',7,32,4,sehr gut
26,DENW059,'02.11.2020 03:00',6,27,9,sehr gut
27,DENW059,'02.11.2020 04:00',6,-,11,sehr gut
28,DENW059,'02.11.2020 05:00',6,25,9,sehr gut
29,DENW059,'02.11.2020 06:00',6,22,12,sehr gut
30,DENW059,'02.11.2020 07:00',5,26,10,sehr gut
31,DENW059,'02.11.2020 08:00',5,30,8,sehr gut
32,DENW059,'02.11.2020 09:00',5,35,8,sehr gut
33,DENW059,'02.11.2020 10:00',5,38,6,sehr gut
34,DENW059,'02.11.2020 11:00',5,42,5,sehr gut
35,DENW059,'02.11.2020 12:00',5,41,4,sehr gut
36,DENW059,'02.11.2020 13:00',4,39,4,sehr gut
37,DENW059,'02.11.2020 14:00',5,39,5,sehr gut
38,DENW059,'02.11.2020 15:00',5,39,4,sehr gut
39,DENW059,'02.11.2020 16:00',5,39,5,sehr gut
40,DENW059,'02.11.2020 17:00',5,37,7,sehr gut
41,DENW059,'02.11.2020 18:00',5,37,6,sehr gut
42,DENW059,'02.11.2020 19:00',5,37,13,sehr gut
43,DENW059,'02.11.2020 20:00',5,51,10,sehr gut
44,DENW059,'02.11.2020 21:00',6,51,15,sehr gut
45,DENW059,'02.11.2020 22:00',6,43,14,sehr gut
46,DENW059,'02.11.2020 23:00',6,43,14,sehr gut
47,DENW059,'02.11.2020 24:00',6,47,13,sehr gut
48,DENW059,'03.11.2020 01:00',7,44,14,sehr gut
49,DENW059,'03.11.2020 02:00',8,47,13,sehr gut
50,DENW059,'03.11.2020 03:00',9,48,4,sehr gut
51,DENW059,'03.11.2020 04:00',9,48,9,sehr gut
52,DENW059,'03.11.2020 05:00',10,-,5,sehr gut
53,DENW059,'03.11.2020 06:00',10,48,6,sehr gut
54,DENW059,'03.11.2020 07:00',11,34,16,sehr gut
55,DENW059,'03.11.2020 08:00',11,7,40,gut
56,DENW059,'03.11.2020 09:00',11,18,33,gut
57,DENW059,'03.11.2020 10:00',12,45,15,sehr gut
58,DENW059,'03.11.2020 11:00',12,54,11,sehr gut
59,DENW059,'03.11.2020 12:00',13,56,8,sehr gut
60,DENW059,'03.11.2020 13:00',13,65,4,gut
61,DENW059,'03.11.2020 14:00',13,66,5,gut
62,DENW059,'03.11.2020 15:00',13,66,5,gut
63,DENW059,'03.11.2020 16:00',13,67,6,gut
64,DENW059,'03.11.2020 17:00',14,52,18,sehr gut
65,DENW059,'03.11.2020 18:00',14,53,13,sehr gut
66,DENW059,'03.11.2020 19:00',14,37,17,sehr gut
67,DENW059,'03.11.2020 20:00',14,32,15,sehr gut
68,DENW059,'03.11.2020 21:00',14,32,11,sehr gut
69,DENW059,'03.11.2020 22:00',14,29,13,sehr gut
70,DENW059,'03.11.2020 23:00',14,30,9,sehr gut
71,DENW059,'03.11.2020 24:00',14,36,9,sehr gut
72,DENW059,'04.11.2020 01:00',13,29,6,sehr gut
73,DENW059,'04.11.2020 02:00',13,23,6,sehr gut
74,DENW059,'04.11.2020 03:00',12,23,5,sehr gut
75,DENW059,'04.11.2020 04:00',12,16,6,sehr gut
76,DENW059,'04.11.2020 05:00',11,16,8,sehr gut
77,DENW059,'04.11.2020 06:00',11,-,17,sehr gut
78,DENW059,'04.11.2020 07:00',11,-,23,gut
79,DENW059,'04.11.2020 08:00',10,-,28,gut
80,DENW059,'04.11.2020 09:00',10,0.5,31,gut
81,DENW059,'04.11.2020 10:00',10,5,34,gut
82,DENW059,'04.11.2020 11:00',10,16,30,gut
83,DENW059,'04.11.2020 12:00',9,27,31,gut
84,DENW059,'04.11.2020 13:00',10,27,32,gut
85,DENW059,'04.11.2020 14:00',10,24,42,mäßig
86,DENW059,'04.11.2020 15:00',10,31,37,gut
87,DENW059,'04.11.2020 16:00',10,39,30,gut
88,DENW059,'04.11.2020 17:00',10,3,54,mäßig
89,DENW059,'04.11.2020 18:00',11,-,56,mäßig
90,DENW059,'04.11.2020 19:00',11,-,54,mäßig
91,DENW059,'04.11.2020 20:00',12,-,57,mäßig
92,DENW059,'04.11.2020 21:00',12,-,49,mäßig
93,DENW059,'04.11.2020 22:00',13,-,43,mäßig
94,DENW059,'04.11.2020 23:00',13,-,32,gut
95,DENW059,'04.11.2020 24:00',14,-,27,gut
96,DENW059,'05.11.2020 01:00',15,-,25,gut
97,DENW059,'05.11.2020 02:00',15,-,20,sehr gut
98,DENW059,'05.11.2020 03:00',15,-,18,sehr gut
99,DENW059,'05.11.2020 04:00',16,-,16,sehr gut
100,DENW059,'05.11.2020 05:00',16,-,16,sehr gut
101,DENW059,'05.11.2020 06:00',16,-,20,sehr gut
102,DENW059,'05.11.2020 07:00',17,-,22,gut
103,DENW059,'05.11.2020 08:00',17,0.4,24,gut
104,DENW059,'05.11.2020 09:00',17,1,25,gut
105,DENW059,'05.11.2020 10:00',17,2,28,gut
106,DENW059,'05.11.2020 11:00',17,3,33,gut
107,DENW059,'05.11.2020 12:00',18,4,40,gut
108,DENW059,'05.11.2020 13:00',18,4,45,mäßig
109,DENW059,'05.11.2020 14:00',18,11,47,mäßig
110,DENW059,'05.11.2020 15:00',19,17,55,mäßig
111,DENW059,'05.11.2020 16:00',20,19,67,mäßig
112,DENW059,'05.11.2020 17:00',21,2,57,mäßig
113,DENW059,'05.11.2020 18:00',21,0.5,66,mäßig
114,DENW059,'05.11.2020 19:00',22,0.5,72,mäßig
115,DENW059,'05.11.2020 20:00',23,0.7,82,mäßig
116,DENW059,'05.11.2020 21:00',24,0.6,59,mäßig
117,DENW059,'05.11.2020 22:00',24,0.7,52,mäßig
118,DENW059,'05.11.2020 23:00',25,1,37,gut
119,DENW059,'05.11.2020 24:00',25,0.7,27,gut
120,DENW059,'06.11.2020 01:00',25,0.8,28,gut
121,DENW059,'06.11.2020 02:00',25,0.5,23,gut
122,DENW059,'06.11.2020 03:00',25,0.6,21,gut
123,DENW059,'06.11.2020 04:00',25,0.3,18,gut
124,DENW059,'06.11.2020 05:00',25,0.3,17,gut
125,DENW059,'06.11.2020 06:00',25,0.3,15,gut
126,DENW059,'06.11.2020 07:00',25,0.1,25,gut
127,DENW059,'06.11.2020 08:00',25,0.2,21,gut
128,DENW059,'06.11.2020 09:00',25,0.9,26,gut
129,DENW059,'06.11.2020 10:00',26,5,28,gut
130,DENW059,'06.11.2020 11:00',26,8,29,gut
131,DENW059,'06.11.2020 12:00',25,19,25,gut
132,DENW059,'06.11.2020 13:00',25,39,14,gut
133,DENW059,'06.11.2020 14:00',24,43,13,gut
134,DENW059,'06.11.2020 15:00',23,43,15,gut
135,DENW059,'06.11.2020 16:00',22,35,23,gut
136,DENW059,'06.11.2020 17:00',21,23,34,gut
137,DENW059,'06.11.2020 18:00',20,13,40,gut
138,DENW059,'06.11.2020 19:00',19,0.9,51,mäßig
139,DENW059,'06.11.2020 20:00',18,3,49,mäßig
140,DENW059,'06.11.2020 21:00',17,2,48,mäßig
141,DENW059,'06.11.2020 22:00',16,20,33,gut
142,DENW059,'06.11.2020 23:00',15,-,23,gut
143,DENW059,'06.11.2020 24:00',14,28,25,gut
144,DENW059,'07.11.2020 01:00',14,34,17,sehr gut
145,DENW059,'07.11.2020 02:00',13,33,16,sehr gut
146,DENW059,'07.11.2020 03:00',13,30,17,sehr gut
147,DENW059,'07.11.2020 04:00',12,29,17,sehr gut
148,DENW059,'07.11.2020 05:00',12,26,17,sehr gut
149,DENW059,'07.11.2020 06:00',12,23,19,sehr gut
150,DENW059,'07.11.2020 07:00',12,22,19,sehr gut
151,DENW059,'07.11.2020 08:00',11,19,20,sehr gut
152,DENW059,'07.11.2020 09:00',11,17,20,sehr gut
153,DENW059,'07.11.2020 10:00',11,18,18,sehr gut
154,DENW059,'07.11.2020 11:00',11,20,16,sehr gut
