Stationscode,Datum,Uhrzeit,Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³,Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³,Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³,Luftqualitätsindex
DENW211,2020-11-01,01:00,16,-,18,sehr gut
DENW211,2020-11-01,02:00,16,-,22,gut
DENW211,2020-11-01,03:00,16,-,21,gut
DENW211,2020-11-01,04:00,16,-,22,gut
DENW211,2020-11-01,05:00,16,-,-,sehr gut
DENW211,2020-11-01,06:00,16,-,29,gut
DENW211,2020-11-01,07:00,16,-,31,gut
DENW211,2020-11-01,08:00,16,-,34,gut
DENW211,2020-11-01,09:00,16,-,28,gut
DENW211,2020-11-01,10:00,16,-,23,gut
DENW211,2020-11-01,11:00,15,-,22,gut
DENW211,2020-11-01,12:00,15,-,15,sehr gut
DENW211,2020-11-01,13:00,15,-,26,gut
DENW211,2020-11-01,14:00,14,-,26,gut
DENW211,2020-11-01,15:00,14,-,37,gut
DENW211,2020-11-01,16:00,13,-,17,sehr gut
DENW211,2020-11-01,17:00,12,-,21,gut
DENW211,2020-11-01,18:00,11,-,17,sehr gut
DENW211,2020-11-01,19:00,11,-,21,gut
DENW211,2020-11-01,20:00,11,-,21,gut
DENW211,2020-11-01,21:00,10,-,20,sehr gut
DENW211,2020-11-01,22:00,9,-,20,sehr gut
DENW211,2020-11-01,23:00,8,-,15,sehr gut
DENW211,2020-11-01,24:00,8,-,12,sehr gut
DENW211,2020-11-02,01:00,7,-,15,sehr gut
DENW211,2020-11-02,02:00,7,-,12,sehr gut
DENW211,2020-11-02,03:00,6,-,11,sehr gut
DENW211,2020-11-02,04:00,6,-,9,sehr gut
DENW211,2020-11-02,05:00,5,-,8,sehr gut
DENW211,2020-11-02,06:00,4,-,-,sehr gut
DENW211,2020-11-02,07:00,4,-,18,sehr gut
DENW211,2020-11-02,08:00,3,-,23,gut
DENW211,2020-11-02,09:00,3,-,34,gut
DENW211,2020-11-02,10:00,3,-,29,gut
DENW211,2020-11-02,11:00,3,-,22,gut
DENW211,2020-11-02,12:00,3,-,15,sehr gut
DENW211,2020-11-02,13:00,3,-,13,sehr gut
DENW211,2020-11-02,14:00,3,-,15,sehr gut
DENW211,2020-11-02,15:00,2,-,20,sehr gut
DENW211,2020-11-02,16:00,3,-,18,sehr gut
DENW211,2020-11-02,17:00,3,-,24,gut
DENW211,2020-11-02,18:00,3,-,26,gut
DENW211,2020-11-02,19:00,2,-,21,gut
DENW211,2020-11-02,20:00,1,-,12,sehr gut
DENW211,2020-11-02,21:00,1,-,17,sehr gut
DENW211,2020-11-02,22:00,1,-,23,gut
DENW211,2020-11-02,23:00,1,-,15,sehr gut
DENW211,2020-11-02,24:00,1,-,12,sehr gut
DENW211,2020-11-03,01:00,2,-,12,sehr gut
DENW211,2020-11-03,02:00,2,-,11,sehr gut
DENW211,2020-11-03,03:00,-,-,9,sehr gut
DENW211,2020-11-03,04:00,-,-,8,sehr gut
DENW211,2020-11-03,05:00,-,-,11,sehr gut
DENW211,2020-11-03,06:00,-,-,24,gut
DENW211,2020-11-03,07:00,-,-,-,-
DENW211,2020-11-03,08:00,-,-,69,mäßig
DENW211,2020-11-03,09:00,-,-,66,mäßig
DENW211,2020-11-03,10:00,-,-,55,mäßig
DENW211,2020-11-03,11:00,-,-,40,gut
DENW211,2020-11-03,12:00,-,-,29,gut
DENW211,2020-11-03,13:00,-,-,25,gut
DENW211,2020-11-03,14:00,-,-,32,gut
DENW211,2020-11-03,15:00,-,-,30,gut
DENW211,2020-11-03,16:00,-,-,42,mäßig
DENW211,2020-11-03,17:00,-,-,46,mäßig
DENW211,2020-11-03,18:00,-,-,48,mäßig
DENW211,2020-11-03,19:00,-,-,41,mäßig
DENW211,2020-11-03,20:00,-,-,32,gut
DENW211,2020-11-03,21:00,-,-,30,gut
DENW211,2020-11-03,22:00,-,-,41,mäßig
DENW211,2020-11-03,23:00,-,-,30,gut
DENW211,2020-11-03,24:00,-,-,22,gut
DENW211,2020-11-04,01:00,-,-,15,sehr gut
DENW211,2020-11-04,02:00,-,-,19,sehr gut
DENW211,2020-11-04,03:00,-,-,17,sehr gut
DENW211,2020-11-04,04:00,-,-,18,sehr gut
DENW211,2020-11-04,05:00,-,-,32,gut
DENW211,2020-11-04,06:00,-,-,45,mäßig
DENW211,2020-11-04,07:00,-,-,61,mäßig
DENW211,2020-11-04,08:00,-,-,-,-
DENW211,2020-11-04,09:00,-,-,59,mäßig
DENW211,2020-11-04,10:00,-,-,51,mäßig
DENW211,2020-11-04,11:00,-,-,51,mäßig
DENW211,2020-11-04,12:00,-,-,58,mäßig
DENW211,2020-11-04,13:00,-,-,59,mäßig
DENW211,2020-11-04,14:00,-,-,63,mäßig
DENW211,2020-11-04,15:00,-,-,64,mäßig
DENW211,2020-11-04,16:00,-,-,68,mäßig
DENW211,2020-11-04,17:00,-,-,71,mäßig
DENW211,2020-11-04,18:00,-,-,86,mäßig
DENW211,2020-11-04,19:00,-,-,86,mäßig
DENW211,2020-11-04,20:00,-,-,73,mäßig
DENW211,2020-11-04,21:00,-,-,64,mäßig
DENW211,2020-11-04,22:00,-,-,57,mäßig
DENW211,2020-11-04,23:00,-,-,50,mäßig
DENW211,2020-11-04,24:00,-,-,49,mäßig
DENW211,2020-11-05,01:00,-,-,40,gut
DENW211,2020-11-05,02:00,-,-,34,gut
