Stationscode,Datum,Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³,Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³,Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³,Luftqualitätsindex
DENW211,2020-11-01,16,-,18,sehr gut
DENW211,2020-11-01,16,-,22,gut
DENW211,2020-11-01,16,-,21,gut
DENW211,2020-11-01,16,-,22,gut
DENW211,2020-11-01,16,-,-,sehr gut
DENW211,2020-11-01,16,-,29,gut
DENW211,2020-11-01,16,-,31,gut
DENW211,2020-11-01,16,-,34,gut
DENW211,2020-11-01,16,-,28,gut
DENW211,2020-11-01,16,-,23,gut
DENW211,2020-11-01,15,-,22,gut
DENW211,2020-11-01,15,-,15,sehr gut
DENW211,2020-11-01,15,-,26,gut
DENW211,2020-11-01,14,-,26,gut
DENW211,2020-11-01,14,-,37,gut
DENW211,2020-11-01,13,-,17,sehr gut
DENW211,2020-11-01,12,-,21,gut
DENW211,2020-11-01,11,-,17,sehr gut
DENW211,2020-11-01,11,-,21,gut
DENW211,2020-11-01,11,-,21,gut
DENW211,2020-11-01,10,-,20,sehr gut
DENW211,2020-11-01,9,-,20,sehr gut
DENW211,2020-11-01,8,-,15,sehr gut
DENW211,2020-11-01,8,-,12,sehr gut
DENW211,2020-11-02,7,-,15,sehr gut
DENW211,2020-11-02,7,-,12,sehr gut
DENW211,2020-11-02,6,-,11,sehr gut
DENW211,2020-11-02,6,-,9,sehr gut
DENW211,2020-11-02,5,-,8,sehr gut
DENW211,2020-11-02,4,-,-,sehr gut
DENW211,2020-11-02,4,-,18,sehr gut
DENW211,2020-11-02,3,-,23,gut
DENW211,2020-11-02,3,-,34,gut
DENW211,2020-11-02,3,-,29,gut
DENW211,2020-11-02,3,-,22,gut
DENW211,2020-11-02,3,-,15,sehr gut
DENW211,2020-11-02,3,-,13,sehr gut
DENW211,2020-11-02,3,-,15,sehr gut
DENW211,2020-11-02,2,-,20,sehr gut
DENW211,2020-11-02,3,-,18,sehr gut
DENW211,2020-11-02,3,-,24,gut
DENW211,2020-11-02,3,-,26,gut
DENW211,2020-11-02,2,-,21,gut
DENW211,2020-11-02,1,-,12,sehr gut
DENW211,2020-11-02,1,-,17,sehr gut
DENW211,2020-11-02,1,-,23,gut
DENW211,2020-11-02,1,-,15,sehr gut
DENW211,2020-11-02,1,-,12,sehr gut
DENW211,2020-11-03,2,-,12,sehr gut
DENW211,2020-11-03,2,-,11,sehr gut
DENW211,2020-11-03,-,-,9,sehr gut
DENW211,2020-11-03,-,-,8,sehr gut
DENW211,2020-11-03,-,-,11,sehr gut
DENW211,2020-11-03,-,-,24,gut
DENW211,2020-11-03,-,-,-,-
DENW211,2020-11-03,-,-,69,mäßig
DENW211,2020-11-03,-,-,66,mäßig
DENW211,2020-11-03,-,-,55,mäßig
DENW211,2020-11-03,-,-,40,gut
DENW211,2020-11-03,-,-,29,gut
DENW211,2020-11-03,-,-,25,gut
DENW211,2020-11-03,-,-,32,gut
DENW211,2020-11-03,-,-,30,gut
DENW211,2020-11-03,-,-,42,mäßig
DENW211,2020-11-03,-,-,46,mäßig
DENW211,2020-11-03,-,-,48,mäßig
DENW211,2020-11-03,-,-,41,mäßig
DENW211,2020-11-03,-,-,32,gut
DENW211,2020-11-03,-,-,30,gut
DENW211,2020-11-03,-,-,41,mäßig
DENW211,2020-11-03,-,-,30,gut
DENW211,2020-11-03,-,-,22,gut
DENW211,2020-11-04,-,-,15,sehr gut
DENW211,2020-11-04,-,-,19,sehr gut
DENW211,2020-11-04,-,-,17,sehr gut
DENW211,2020-11-04,-,-,18,sehr gut
DENW211,2020-11-04,-,-,32,gut
DENW211,2020-11-04,-,-,45,mäßig
DENW211,2020-11-04,-,-,61,mäßig
DENW211,2020-11-04,-,-,-,-
DENW211,2020-11-04,-,-,59,mäßig
DENW211,2020-11-04,-,-,51,mäßig
DENW211,2020-11-04,-,-,51,mäßig
DENW211,2020-11-04,-,-,58,mäßig
DENW211,2020-11-04,-,-,59,mäßig
DENW211,2020-11-04,-,-,63,mäßig
DENW211,2020-11-04,-,-,64,mäßig
DENW211,2020-11-04,-,-,68,mäßig
DENW211,2020-11-04,-,-,71,mäßig
DENW211,2020-11-04,-,-,86,mäßig
DENW211,2020-11-04,-,-,86,mäßig
DENW211,2020-11-04,-,-,73,mäßig
DENW211,2020-11-04,-,-,64,mäßig
DENW211,2020-11-04,-,-,57,mäßig
DENW211,2020-11-04,-,-,50,mäßig
DENW211,2020-11-04,-,-,49,mäßig
DENW211,2020-11-05,-,-,40,gut
DENW211,2020-11-05,-,-,34,gut
DENW211,2020-11-05,-,-,32,gut
DENW211,2020-11-05,-,-,29,gut
DENW211,2020-11-05,-,-,30,gut
DENW211,2020-11-05,-,-,40,gut
DENW211,2020-11-05,41,-,35,mäßig
DENW211,2020-11-05,40,-,34,mäßig
DENW211,2020-11-05,39,-,-,mäßig
DENW211,2020-11-05,39,-,35,mäßig
DENW211,2020-11-05,38,-,40,mäßig
DENW211,2020-11-05,38,-,55,mäßig
DENW211,2020-11-05,38,-,73,mäßig
DENW211,2020-11-05,40,-,96,mäßig
DENW211,2020-11-05,40,-,85,mäßig
DENW211,2020-11-05,41,-,106,schlecht
DENW211,2020-11-05,42,-,117,schlecht
DENW211,2020-11-05,42,-,110,schlecht
DENW211,2020-11-05,43,-,98,mäßig
DENW211,2020-11-05,43,-,97,mäßig
DENW211,2020-11-05,43,-,89,mäßig
DENW211,2020-11-05,43,-,80,mäßig
DENW211,2020-11-05,43,-,74,mäßig
DENW211,2020-11-05,44,-,57,mäßig
DENW211,2020-11-06,44,-,48,mäßig
DENW211,2020-11-06,44,-,44,mäßig
DENW211,2020-11-06,44,-,37,mäßig
DENW211,2020-11-06,44,-,34,mäßig
DENW211,2020-11-06,45,-,34,mäßig
DENW211,2020-11-06,45,-,38,mäßig
DENW211,2020-11-06,45,-,34,mäßig
DENW211,2020-11-06,45,-,38,mäßig
DENW211,2020-11-06,45,-,43,mäßig
DENW211,2020-11-06,45,-,-,mäßig
DENW211,2020-11-06,44,-,43,mäßig
DENW211,2020-11-06,44,-,42,mäßig
DENW211,2020-11-06,42,-,42,mäßig
DENW211,2020-11-06,39,-,43,mäßig
DENW211,2020-11-06,37,-,45,mäßig
DENW211,2020-11-06,35,-,50,mäßig
DENW211,2020-11-06,34,-,82,mäßig
DENW211,2020-11-06,32,-,86,mäßig
DENW211,2020-11-06,30,-,72,mäßig
DENW211,2020-11-06,28,-,70,mäßig
DENW211,2020-11-06,26,-,62,mäßig
DENW211,2020-11-06,24,-,52,mäßig
DENW211,2020-11-06,22,-,46,mäßig
DENW211,2020-11-06,21,-,39,gut
DENW211,2020-11-07,20,-,30,gut
DENW211,2020-11-07,19,-,27,gut
DENW211,2020-11-07,18,-,20,sehr gut
DENW211,2020-11-07,17,-,22,gut
DENW211,2020-11-07,16,-,22,gut
DENW211,2020-11-07,16,-,26,gut
DENW211,2020-11-07,15,-,25,gut
DENW211,2020-11-07,15,-,25,gut
DENW211,2020-11-07,15,-,25,gut
DENW211,2020-11-07,16,-,25,gut
DENW211,2020-11-07,16,-,-,sehr gut
DENW211,2020-11-07,17,-,34,gut
DENW211,2020-11-07,17,-,31,gut
DENW211,2020-11-07,18,-,38,gut
DENW211,2020-11-07,18,-,44,mäßig
DENW211,2020-11-07,18,-,55,mäßig
DENW211,2020-11-07,19,-,63,mäßig
DENW211,2020-11-07,19,-,62,mäßig
DENW211,2020-11-07,19,-,51,mäßig
DENW211,2020-11-07,19,-,50,mäßig
DENW211,2020-11-07,20,-,50,mäßig
DENW211,2020-11-07,20,-,45,mäßig
DENW211,2020-11-07,21,-,41,mäßig
DENW211,2020-11-07,21,-,36,gut
DENW211,2020-11-08,21,-,33,gut
DENW211,2020-11-08,22,-,29,gut
DENW211,2020-11-08,22,-,29,gut
DENW211,2020-11-08,22,-,28,gut
DENW211,2020-11-08,23,-,28,gut
DENW211,2020-11-08,23,-,28,gut
DENW211,2020-11-08,24,-,28,gut
DENW211,2020-11-08,24,-,28,gut
DENW211,2020-11-08,24,-,26,gut
DENW211,2020-11-08,23,-,22,gut
DENW211,2020-11-08,23,-,23,gut
